Politician, Birth Full Name, Date of Birth, Age, Place of Birth, Political Parties/Affiliations, Position, Century of Presidentship/Vice-Presidentship
Joe Biden,Joseph Robinette Biden Jr.,1942-11-20, 79,"Scranton, Pennsylvania, U.S.","Democratic, Republicans",President,21
George W. Bush,George Walker Bush,1946-07-06, 75,"New Haven, Connecticut, U.S.","Democratic National Committee, Republican",President,21
Barack Obama,Barack Hussein Obama II,1961-08-04, 60,"Honolulu, Hawaii, U.S.","Democratic, Republican",President,21
Donald Trump,Donald John Trump,1946-06-14, 75,"Queens, New York City, U.S.","Democratic, Republican",President,21
George H. W. Bush,George Herbert Walker Bush,1924-06-12,Died,"Milton, Massachusetts","Democratic National Committee, Republican National Committee",President,20
Jimmy Carter,James Earl Carter Jr.,1924-10-01, 97,"Plains, Georgia","Democratic, Republican",President,20
Bill Clinton,William Jefferson Blythe III,1946-08-19, 75,Hope,"Democratic, Republican Revolution",President,20
Calvin Coolidge,John Calvin Coolidge Jr.,1872-07-04,Died,"Plymouth Notch, Vermont","Democratic Party, Republican",President,20
Dwight D. Eisenhower,David Dwight Eisenhower,1890-10-14,Died,"Denison, Texas","Democratic Party, Republican",President,20
Gerald Ford,Leslie Lynch King Jr.,1913-07-14,Died,"Omaha, Nebraska","Democratic, Leader of the House Republican Conference",President,20
Warren G. Harding,Warren Gamaliel Harding,1865-11-02,Died,"Blooming Grove, Ohio","Democratic National Convention, Republican",President,20
Herbert Hoover,Herbert Clark Hoover,1874-08-10,Died,"West Branch, Iowa","Democratic, Republican",President,20
Lyndon B. Johnson,Lyndon Baines Johnson,1908-08-27,Died,"Stonewall, Texas","Chair of the Senate Democratic Caucus, Republican Party",President,20
John F. Kennedy,John Fitzgerald Kennedy,1917-05-29,Died,"Brookline, Massachusetts","Democratic, Republican",President,20
William McKinley,William McKinley Jr.,1843-01-29,Died,"Niles, Ohio","Democratic, Republican",President,20
Richard Nixon,Richard Milhous Nixon,1913-01-09,Died,"Yorba Linda, California","Democratic Party, Republican",President,20
Ronald Reagan,Ronald Wilson Reagan,1911-02-06,Died,"Tampico, Illinois","Democratic, Republican",President,20
